,Unnamed: 0,guess,author,presynaptic_ID,counts,postsynaptic_ID,symbol,dorso-ventral,frequency_counts
87,10631,Mi1,100,720575940625981327,27,720575940634696161,Mi1,,4
88,10679,Mi1,100,720575940630146668,32,720575940637467102,Mi1,,4
89,1263,Mi1,100,720575940626298364,39,720575940625924144,Mi1,,3
90,10441,Mi1,100,720575940620728710,30,720575940625009131,Mi1,,6
91,12620,Mi1,100,720575940633711540,28,720575940613378541,Mi1,,1
92,12504,Mi1,100,720575940633839796,35,720575940621238767,Mi1,,2
93,11970,Mi1,100,720575940621454427,34,720575940622676464,Mi1,,4
94,11350,Mi1,100,720575940614935249,46,720575940612039154,Mi1,,5
95,12200,Mi1,100,720575940630012923,36,720575940628777463,Mi1,,3
96,12264,Mi1,100,720575940612031694,21,720575940629723639,Mi1,,4
97,11214,Mi1,100,720575940611126648,33,720575940630100471,Mi1,,4
98,12783,Mi1,100,720575940619876890,16,720575940630086138,Mi1,,6
99,11419,Mi1,100,720575940639250741,29,720575940625113597,Mi1,,6
100,436,Mi1,100,720575940605478321,40,720575940615794738,Mi1,,5
101,11649,Mi1,100,720575940634728043,29,720575940614169086,Mi1,,5
102,11781,Mi1,100,720575940619962422,46,720575940625472002,Mi1,,4
103,12721,Mi1,100,720575940614426595,27,720575940628947459,Mi1,,5
104,12665,Mi1,100,720575940628437776,22,720575940626047492,Mi1,,5
105,12999,Mi1,100,720575940650403449,25,720575940627266054,Mi1,,3
106,12314,Mi1,100,720575940614935249,34,720575940622578183,Mi1,,5
107,11516,Mi1,100,720575940609555406,34,720575940608391691,Mi1,,4
108,11841,Mi1,100,720575940628618920,34,720575940608623115,Mi1,,4
109,12390,Mi1,100,720575940625666488,21,720575940625678862,Mi1,,4
110,11592,Mi1,100,720575940646413108,34,720575940628632080,Mi1,,3
111,235,Mi1,100,720575940612410481,27,720575940629305347,Mi1,,4
112,1,Mi1,100,720575940630505297,27,720575940638662708,Mi1,,4
